APP_DATE,TITLE,CHILDREN,PERS_H,AGE,TMADD,TMJOB1,TEL,NMBLOAN,FINLOAN,INCOME,EC_CARD,INC,INC1,STATUS,BUREAU,LOCATION,LOANS,REGN,DIV,CASH,PRODUCT,RESID,NAT,PROF,CAR,CARDS,ACTION
2010-08-21,H,1,3,39,60,12,2,0,0,5000,0,100000,4,V,1,1,1,4,1,1600,"Radio, TV, Hifi",Lease,German,Self-employed pe,Car,no credit cards,Put More Money Down
2009-08-23,R,0,1,25,48,33,2,0,0,1700,0,2500,2,U,3,1,0,3,1,700,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,Put More Money Down
2012-02-17,H,0,2,23,3,3,2,2,1,2800,0,100000,4,V,1,1,1,2,1,1700,"Dept. Store,Mail",Lease,German,Military Service,Car,no credit cards,Put More Money Down
2013-02-16,H,0,1,36,120,24,2,1,1,3400,0,100000,4,U,1,1,1,2,1,5000,"Furniture,Carpet",Lease,German,Others,Without Vehicle,no credit cards,Put More Money Down
2011-06-17,R,2,3,38,192,48,2,2,0,2500,0,2500,2,G,1,1,2,2,1,1400,"Furniture,Carpet",Lease,German,Self-employed pe,Car,no credit cards,Put More Money Down
2005-10-14,H,0,1,32,192,192,1,0,0,1800,0,2500,2,U,1,1,0,0,0,1600,"Dept. Store,Mail",Lease,German,Others,Without Vehicle,no credit cards,Put More Money Down
2010-08-10,R,0,1,23,0,48,2,0,0,1500,0,2500,2,U,3,1,0,9,1,2500,"Radio, TV, Hifi",Lease,German,"Food,Building,Ca",Car,no credit cards,Put More Money Down
2006-01-22,H,2,4,32,42,6,1,0,0,1800,0,2500,2,V,3,1,0,0,0,1900,"Furniture,Carpet",Owner,German,Others,Car,no credit cards,Put More Money Down
2007-08-16,H,1,3,34,21,9,2,0,1,2500,0,2500,2,V,1,1,3,6,1,1200,"Radio, TV, Hifi",Lease,Turkish,"State,Steel Ind,",Car,no credit cards,Put More Money Down
2009-01-12,H,1,3,37,84,288,2,0,1,3000,0,100000,4,V,3,1,0,4,1,5000,"Furniture,Carpet",Lease,Turkish,Others,Car,no credit cards,Put More Money Down
2007-04-03,H,0,1,19,108,9,2,0,0,1000,0,2500,2,U,3,1,0,3,1,800,"Dept. Store,Mail",Lease,German,Others,Car,no credit cards,Put More Money Down
2005-12-08,H,0,1,33,999,15,2,0,1,2500,0,2500,2,T,1,1,1,0,0,10000,Cars,Lease,German,Others,Car,no credit cards,Put More Money Down
2006-12-17,H,0,1,21,96,9,2,0,0,1800,0,2500,2,U,3,1,0,4,1,600,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,Put More Money Down
2010-11-03,H,0,2,48,84,288,2,0,1,3200,0,100000,4,V,1,1,2,3,1,800,"Dept. Store,Mail",0,German,Others,Car,no credit cards,Put More Money Down
2006-06-22,R,0,2,54,999,288,1,0,0,1500,0,2500,2,V,1,1,1,0,0,4000,"Furniture,Carpet",Lease,German,Others,Without Vehicle,no credit cards,Put More Money Down
2006-04-03,H,0,1,22,18,66,1,2,0,0,1,0,1,U,1,1,1,0,0,1300,"Dept. Store,Mail",Lease,German,"Civil Service, M",Car,Cheque card,Put More Money Down
2005-08-25,R,1,3,36,96,192,1,0,0,2700,0,100000,4,V,1,1,4,0,0,1600,"Radio, TV, Hifi",Lease,German,"Civil Service, M",Car,no credit cards,Put More Money Down
2005-06-16,H,2,4,28,108,21,2,0,0,0,1,0,1,V,1,1,1,0,0,2000,"Radio, TV, Hifi",Lease,German,"Food,Building,Ca",Car,Cheque card,Put More Money Down
2009-06-22,H,0,1,23,168,48,1,0,0,1800,1,2500,3,U,1,1,1,0,0,1300,"Dept. Store,Mail",0,German,Military Service,Car,Cheque card,Put More Money Down
2013-01-17,H,0,2,48,9,9,1,0,0,2200,0,2500,2,V,1,1,0,6,1,1500,"Dept. Store,Mail",Lease,Others,Others,Without Vehicle,no credit cards,Put More Money Down
2005-01-29,H,0,2,38,999,30,1,0,1,2100,0,2500,2,V,1,1,2,0,0,3000,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,Put More Money Down
2006-07-29,H,0,1,60,999,27,1,0,0,1600,0,2500,2,W,3,1,0,0,0,15000,Cars,Lease,German,Pensioner,Car,no credit cards,Put More Money Down
2012-09-29,R,0,1,63,168,216,2,2,1,1500,0,2500,2,G,1,1,5,4,1,6000,"Furniture,Carpet",Lease,German,Others,Without Vehicle,no credit cards,Put More Money Down
2009-06-18,H,1,3,51,240,240,2,0,0,2500,0,2500,2,V,3,1,0,4,1,1500,"Radio, TV, Hifi",0,Turkish,Pensioner,Without Vehicle,no credit cards,Put More Money Down
2010-09-12,R,1,2,34,120,30,2,0,0,1900,0,2500,2,T,1,1,1,8,1,1800,"Radio, TV, Hifi",0,German,Others,Without Vehicle,no credit cards,Put More Money Down
2008-10-18,H,1,3,27,336,15,2,0,0,2700,0,100000,4,V,1,1,1,4,1,1600,"Radio, TV, Hifi",Lease,German,Others,Car,no credit cards,Put More Money Down
2010-04-08,R,1,2,36,12,0,2,0,0,1900,0,2500,2,W,1,1,1,2,1,1200,"Furniture,Carpet",0,German,Pensioner,Car,no credit cards,Put More Money Down
2010-07-03,H,0,1,24,36,48,2,0,1,2400,0,2500,2,U,1,1,1,4,1,2500,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,Put More Money Down
2008-12-28,R,1,3,29,30,168,2,0,0,0,1,0,1,V,3,1,0,6,1,1400,"Radio, TV, Hifi",Lease,German,Others,Car,Cheque card,Put More Money Down
2010-01-24,H,1,3,33,30,36,2,0,1,0,1,0,1,V,3,1,0,2,1,1000,"Furniture,Carpet",0,German,Others,Car,Cheque card,Put More Money Down
2010-10-07,H,2,4,39,84,84,2,0,0,0,1,0,1,V,3,1,0,7,1,1300,"Radio, TV, Hifi",Lease,German,Others,Car,Cheque card,Put More Money Down
2012-11-16,H,0,1,23,108,72,2,1,1,2000,0,2500,2,U,3,1,0,4,1,800,"Radio, TV, Hifi",0,German,Others,Car,no credit cards,Put More Money Down
2010-08-09,H,0,1,23,6,36,2,0,1,3200,0,100000,4,U,1,1,2,8,1,1000,Cars,Lease,German,Others,Car,no credit cards,Put More Money Down
2005-04-30,R,0,2,46,168,21,2,2,0,0,1,0,1,V,1,1,2,0,0,1500,"Furniture,Carpet",Lease,German,Others,Car,Cheque card,Put More Money Down
2007-09-09,H,0,1,50,24,54,2,0,1,2300,0,2500,2,G,1,1,1,3,1,3000,"Dept. Store,Mail",0,Other European,Others,Car,no credit cards,Put More Money Down
2008-12-05,H,0,1,47,30,30,2,0,0,1500,0,2500,2,U,3,1,0,2,1,1300,"Radio, TV, Hifi",Lease,Others,"Sea Vojage, Gast",Without Vehicle,no credit cards,Put More Money Down
2011-03-26,H,0,2,27,36,108,2,2,1,2500,0,2500,2,V,1,1,0,5,1,900,"Furniture,Carpet",Lease,German,Others,Car,no credit cards,Put More Money Down
