Loan_ID,APP_DATE,LOAN,LOANDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,ACTION
549811,2006-01-24,6500,63144.0,76754.0,CarImp,Mgr,2.0,0.0,2.0,129.0777116,0.0,23.0,29.05543313,Put More Money Down
877963,2010-02-07,12500,56960.0,69014.0,DebtCon,Other,4.0,0.0,0.0,307.636664,0.0,10.0,30.36248382,Put More Money Down
775667,2005-04-18,4500,0.0,49044.0,CarImp,0,0.0,0.0,0.0,0.0,0.0,0.0,11.6527388,Put More Money Down
62274,2014-10-25,18900,17800.0,40798.0,DebtCon,Office,6.0,2.0,0.0,167.4666667,2.0,16.0,0.0,Put More Money Down
508894,2017-08-24,24300,41323.0,73309.0,DebtCon,Other,27.0,0.0,1.0,298.1859041,2.0,32.0,36.15527752,Put More Money Down
835342,2011-09-25,14800,100255.0,116160.0,DebtCon,Other,10.0,0.0,0.0,184.7772142,0.0,26.0,34.48399038,Put More Money Down
808001,2011-11-18,15000,0.0,0.0,CarImp,0,1.0,1.0,0.0,108.5333333,0.0,22.0,0.0,Put More Money Down
322667,2014-06-11,18200,57980.0,79265.0,DebtCon,Other,16.0,0.0,0.0,194.0542928,0.0,20.0,37.72576061,Put More Money Down
498797,2011-04-03,13900,50415.0,68166.0,DebtCon,Other,10.0,0.0,0.0,235.680967,0.0,17.0,33.77003753,Put More Money Down
569933,2016-06-16,21900,0.0,80239.0,DebtCon,Sales,5.0,0.0,0.0,402.0868105,0.0,23.0,21.98994578,Put More Money Down
361005,2018-07-04,26100,113266.0,182082.0,DebtCon,Sales,18.0,0.0,0.0,304.8524691,1.0,31.0,33.19394936,Put More Money Down
145562,2020-08-29,42800,7382.0,71331.0,CarImp,Office,0.0,0.0,0.0,321.7808575,0.0,19.0,16.54506284,Put More Money Down
476951,2014-07-06,18400,63569.0,95729.0,CarImp,ProfExe,23.0,0.0,0.0,237.2759487,0.0,23.0,38.41536702,Put More Money Down
849156,2005-03-16,4000,29562.0,37200.0,DebtCon,Other,6.0,0.0,0.0,92.13333333,1.0,26.0,0.0,Put More Money Down
580378,2015-08-16,20400,99781.0,128452.0,DebtCon,Office,23.0,0.0,0.0,265.9508455,2.0,16.0,33.79937887,Put More Money Down
285996,2014-01-22,17600,88661.0,114922.0,DebtCon,Other,13.0,0.0,0.0,152.7540102,1.0,7.0,36.76627363,Put More Money Down
846572,2014-04-29,18000,0.0,97026.0,0,Other,0.0,0.0,0.0,182.5978157,1.0,9.0,30.67551037,Put More Money Down
194527,2019-02-18,27800,64804.0,97553.0,DebtCon,Other,15.0,1.0,0.0,105.0986637,1.0,17.0,32.17786106,Put More Money Down
954379,2010-12-11,13500,67180.0,85634.0,DebtCon,Sales,5.0,0.0,0.0,147.3553126,0.0,35.0,28.52255337,Put More Money Down
563138,2007-07-23,9100,62976.0,77829.0,CarImp,Mgr,0.0,0.0,2.0,131.193496,0.0,23.0,26.09041891,Put More Money Down
360452,2005-04-04,4200,67700.0,77000.0,DebtCon,Sales,4.0,0.0,0.0,128.8333333,0.0,31.0,0.0,Put More Money Down
297045,2018-05-27,25800,70804.0,106892.0,DebtCon,ProfExe,12.0,0.0,0.0,291.0720275,1.0,33.0,40.77228326,Put More Money Down
708733,2016-04-09,21500,67377.0,86502.0,DebtCon,Office,5.0,0.0,0.0,158.6407067,0.0,15.0,37.75484259,Put More Money Down
906726,2013-09-24,17200,51352.0,64386.0,DebtCon,Mgr,27.0,0.0,0.0,295.9554144,1.0,17.0,36.78730595,Put More Money Down
441314,2017-12-03,25000,145000.0,185000.0,CarImp,Self,2.0,0.0,0.0,176.5,1.0,17.0,0.0,Put More Money Down
696013,2011-06-09,14300,43826.0,70517.0,DebtCon,Other,0.0,0.0,0.0,260.0849449,0.0,20.0,28.83993348,Put More Money Down
913000,2019-06-27,29400,48800.0,86000.0,DebtCon,Other,5.0,1.0,0.0,52.76653273,2.0,21.0,0.0,Put More Money Down
811772,2016-01-04,21000,0.0,91455.0,CarImp,Other,7.0,0.0,0.0,174.4289688,1.0,15.0,38.59337641,Put More Money Down
104399,2021-02-10,59800,42069.0,72082.0,DebtCon,Other,4.0,0.0,0.0,78.40407309,0.0,21.0,29.01621726,Put More Money Down
897704,2008-07-07,10400,56610.0,86831.0,CarImp,Other,19.0,0.0,0.0,190.0848295,0.0,28.0,24.60265855,Put More Money Down
564997,2006-04-26,7000,55000.0,63000.0,CarImp,Other,5.0,0.0,0.0,84.73333333,3.0,20.0,0.0,Put More Money Down
653958,2005-06-06,5000,72517.0,86250.0,DebtCon,Mgr,19.0,0.0,1.0,300.3666667,1.0,24.0,0.0,Put More Money Down
942439,2018-12-29,27500,97679.0,149877.0,DebtCon,Mgr,23.0,0.0,0.0,193.0056328,0.0,12.0,39.41516685,Put More Money Down
220216,2011-01-03,13600,90519.0,110885.0,DebtCon,Other,12.0,0.0,0.0,201.8355908,3.0,16.0,39.66605441,Put More Money Down
