SEQUENCE_NUM,RESPONSE_DATE,REFRIGERATOR_COST,INCOME,MORTGAGE,REASON,JOB,YEARS_AT_HOME,WASHER_PURCHASES,DRYER_PURCHASES,OLDEST_INQUIRY,OVEN_PURCHASES,OTHER_PURCHASES,ONLINE_CONV_RATIO,ACTION
899043,2008-08-04,30000,109583.0,153132.0,RESIDEN,ProfEx,10.0,0.0,0.0,162.0,1.0,16.0,33.76030524,Offer New Refrigerator
840976,2016-07-11,12700,59440.0,88690.0,RESIDEN,Other,0.0,0.0,0.0,129.0,3.0,11.0,37.83827353,Offer New Refrigerator
396668,2008-11-19,52700,23905.0,82670.0,COMMERC,Other,4.0,2.0,0.0,253.0,7.0,14.0,42.83695513,Offer New Refrigerator
488693,2016-06-07,12100,50973.0,74183.0,RESIDEN,Mgr,6.0,0.0,0.0,123.0,0.0,24.0,41.12808531,Offer New Refrigerator
649759,2008-10-05,39300,0.0,62158.0,RESIDEN,Other,0.0,0.0,0.0,239.0,1.0,14.0,1.028930968,Offer New Refrigerator
474408,2015-03-26,34900,236340.0,37598.0,RESIDEN,Mgr,2.0,0.0,1.0,221.0,4.0,50.0,41.85741593,Offer New Refrigerator
369751,2014-01-28,18100,95322.0,119643.0,COMMERC,Mgr,2.0,0.0,0.0,314.0,1.0,20.0,42.1192853,Offer New Refrigerator
308773,2018-10-12,4100,58500.0,65000.0,COMMERC,Other,8.0,1.0,2.0,64.0,2.0,15.0,0.0,Offer New Refrigerator
498797,2016-09-19,13900,50415.0,68166.0,RESIDEN,Other,10.0,0.0,0.0,236.0,0.0,17.0,33.77003753,Offer New Refrigerator
55865,2015-10-09,7500,32070.0,36811.0,RESIDEN,Other,1.0,1.0,0.0,228.0,0.0,6.0,30.16221411,Offer New Refrigerator
194102,2016-08-25,13500,82036.0,104261.0,COMMERC,ProfEx,4.0,0.0,1.0,98.0,0.0,33.0,39.2941028,Offer New Refrigerator
92333,2015-02-06,29300,68024.0,115954.0,COMMERC,Other,6.0,0.0,0.0,110.0,11.0,21.0,44.36917076,Offer New Refrigerator
703842,2021-01-14,22000,82000.0,12500.0,RESIDEN,ProfEx,3.0,0.0,0.0,118.0,6.0,23.0,0.0,Offer New Refrigerator
652048,2020-11-23,20800,56364.0,115760.0,RESIDEN,ProfEx,16.0,0.0,0.0,262.0,0.0,19.0,24.79795817,Offer New Refrigerator
798753,2014-01-02,17600,53707.0,80407.0,RESIDEN,Other,17.0,1.0,0.0,186.0,0.0,21.0,36.49405393,Offer New Refrigerator
960181,2017-08-01,20300,71387.0,107363.0,COMMERC,Other,4.0,0.0,0.0,220.0,0.0,13.0,29.5672214,Offer New Refrigerator
45099,2011-06-17,24100,95549.0,112283.0,RESIDEN,Other,22.0,0.0,0.0,243.0,0.0,28.0,39.08269663,Offer New Refrigerator
980533,2016-08-28,13500,117604.0,136099.0,RESIDEN,ProfEx,15.0,0.0,0.0,188.0,1.0,32.0,31.63052886,Offer New Refrigerator
485000,2020-02-01,14800,88898.0,107208.0,RESIDEN,Office,30.0,0.0,0.0,330.0,1.0,50.0,36.74501301,Offer New Refrigerator
