SEQUENCE_NUM,RESPONSE_DATE,REFRIGERATOR_COST,INCOME,MORTGAGE,REASON,JOB,YEARS_AT_HOME,WASHER_PURCHASES,DRYER_PURCHASES,OLDEST_INQUIRY,OVEN_PURCHASES,OTHER_PURCHASES,ONLINE_CONV_RATIO,ACTION
519351,2010-12-01,19000,22236.0,169461.0,COMMERC,Self,7.0,0.0,0.0,296.0,0.0,27.0,27.64001806,Offer New Refrigerator
327524,2015-01-02,27500,137900.0,184000.0,RESIDEN,Office,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Offer New Refrigerator
211747,2009-11-21,12000,28298.0,72000.0,RESIDEN,Other,8.0,0.0,0.0,106.0,2.0,22.0,0.0,Offer New Refrigerator
787780,2020-01-15,14400,111914.0,142105.0,RESIDEN,ProfEx,3.0,0.0,0.0,285.0,1.0,46.0,32.91138466,Offer New Refrigerator
78735,2019-12-23,13900,71425.0,81012.0,RESIDEN,Other,2.0,0.0,0.0,243.0,2.0,26.0,32.17503606,Offer New Refrigerator
825556,2014-03-17,19300,31950.0,53814.0,RESIDEN,ProfEx,17.0,0.0,0.0,178.0,1.0,20.0,37.13471233,Offer New Refrigerator
477285,2020-05-24,16600,97749.0,164103.0,0,Other,0.0,1.0,0.0,264.0,0.0,23.0,37.38685429,Offer New Refrigerator
601393,2017-08-02,20300,21281.0,90551.0,RESIDEN,Other,22.0,0.0,0.0,219.0,2.0,41.0,37.15549756,Offer New Refrigerator
926803,2013-11-04,16400,100014.0,122281.0,RESIDEN,ProfEx,0.0,0.0,0.0,123.0,0.0,30.0,34.93667391,Offer New Refrigerator
723670,2008-07-08,28000,96015.0,127551.0,RESIDEN,ProfEx,0.0,1.0,0.0,197.0,3.0,37.0,34.87164311,Offer New Refrigerator
713141,2016-12-01,15200,0.0,67103.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,3.688958496,Offer New Refrigerator
271977,2013-04-17,12900,67038.0,110955.0,RESIDEN,Office,9.0,0.0,0.0,147.0,0.0,12.0,37.08598608,Offer New Refrigerator
787174,2017-01-24,16100,54715.0,71673.0,RESIDEN,Office,1.0,0.0,0.0,186.0,0.0,25.0,29.67050636,Offer New Refrigerator
776492,2013-11-22,16800,16204.0,27781.0,COMMERC,Other,1.0,10.0,0.0,191.0,0.0,9.0,27.14688565,Offer New Refrigerator
872373,2017-02-10,16500,94403.0,0.0,RESIDEN,Office,9.0,0.0,1.0,218.0,0.0,19.0,0.0,Offer New Refrigerator
490127,2015-08-04,5400,86922.0,119846.0,COMMERC,ProfEx,5.0,0.0,0.0,185.0,1.0,28.0,26.35488929,Offer New Refrigerator
727356,2020-07-14,17600,76043.0,95605.0,RESIDEN,Other,3.0,2.0,1.0,85.0,6.0,30.0,47.84029512,Offer New Refrigerator
906726,2017-03-19,17200,51352.0,64386.0,RESIDEN,Mgr,27.0,0.0,0.0,296.0,1.0,17.0,36.78730595,Offer New Refrigerator
856960,2016-08-07,13100,50552.0,59889.0,RESIDEN,Other,4.0,0.0,0.0,179.0,0.0,13.0,38.76331381,Offer New Refrigerator
63819,2013-02-18,12000,76345.0,89036.0,COMMERC,Other,8.0,0.0,0.0,92.0,1.0,19.0,50.17306503,Offer New Refrigerator
946652,2018-07-25,40000,0.0,850000.0,COMMERC,Other,17.0,0.0,0.0,187.0,1.0,24.0,0.0,Offer New Refrigerator
209906,2010-03-15,14000,42767.0,60950.0,RESIDEN,Other,7.0,0.0,1.0,118.0,3.0,49.0,0.0,Offer New Refrigerator
144713,2005-06-28,38400,31458.0,71821.0,RESIDEN,ProfEx,4.0,0.0,0.0,192.0,2.0,17.0,24.98536247,Offer New Refrigerator
255372,2005-09-02,89000,54576.0,92937.0,RESIDEN,Other,16.0,0.0,0.0,209.0,0.0,15.0,35.85997068,Offer New Refrigerator
171836,2011-03-25,21800,107271.0,161219.0,RESIDEN,Mgr,15.0,0.0,0.0,187.0,0.0,26.0,31.55694874,Offer New Refrigerator
522656,2014-07-12,22100,36084.0,84734.0,COMMERC,Other,25.0,0.0,0.0,258.0,0.0,6.0,24.52600298,Offer New Refrigerator
938026,2012-08-08,8200,13392.0,34254.0,RESIDEN,Other,3.0,0.0,0.0,268.0,0.0,11.0,21.92999049,Offer New Refrigerator
836364,2017-04-19,17800,13660.0,173360.0,COMMERC,Mgr,23.0,0.0,0.0,79.0,2.0,21.0,30.06279232,Offer New Refrigerator
502557,2008-12-31,4500,71082.0,79247.0,COMMERC,Other,4.0,0.0,0.0,119.0,0.0,14.0,41.42111052,Offer New Refrigerator
904705,2017-05-07,18200,55406.0,78682.0,RESIDEN,Other,0.0,0.0,0.0,123.0,0.0,39.0,33.6938313,Offer New Refrigerator
765194,2007-02-25,15300,109767.0,117552.0,RESIDEN,ProfEx,0.0,0.0,0.0,126.0,0.0,30.0,37.68939304,Offer New Refrigerator
111227,2020-07-11,17500,85183.0,108948.0,COMMERC,ProfEx,4.0,0.0,0.0,125.0,1.0,25.0,37.10302599,Offer New Refrigerator
94524,2005-12-29,7500,39600.0,42000.0,RESIDEN,Self,1.0,0.0,0.0,48.0,1.0,15.0,0.0,Offer New Refrigerator
845508,2010-09-18,17300,51107.0,64135.0,COMMERC,Office,4.0,0.0,0.0,115.0,0.0,17.0,32.25108612,Offer New Refrigerator
849391,2015-07-31,5200,91250.0,110000.0,COMMERC,Office,24.0,0.0,0.0,124.0,1.0,12.0,0.0,Offer New Refrigerator
717650,2009-10-10,11200,19496.0,73140.0,RESIDEN,ProfEx,20.0,0.0,1.0,399.0,1.0,12.0,23.37450457,Offer New Refrigerator
145149,2011-08-28,26300,25685.0,51023.0,RESIDEN,Other,35.0,0.0,0.0,261.0,0.0,23.0,40.08504815,Offer New Refrigerator
864754,2005-07-27,45200,89427.0,157731.0,RESIDEN,Other,17.0,0.0,0.0,210.0,8.0,18.0,39.16706289,Offer New Refrigerator
430036,2008-12-15,2900,61962.0,70915.0,RESIDEN,Mgr,2.0,0.0,0.0,283.0,3.0,37.0,49.20639579,Offer New Refrigerator
364371,2019-12-10,13700,89345.0,105590.0,RESIDEN,ProfEx,6.0,0.0,0.0,201.0,2.0,37.0,43.47167729,Offer New Refrigerator
404681,2008-02-02,22900,131767.0,174684.0,0,Mgr,24.0,0.0,4.0,330.0,1.0,28.0,32.36162706,Offer New Refrigerator
