Loan_ID,APP_DATE,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,ACTION
557056,2012-02-08,15000,82000.0,130000.0,DebtCon,Mgr,18.0,0.0,5.0,122.7333333,10.0,19.0,,Put More Money Down on Mortgage
935471,2007-10-26,9600,53277.0,60843.0,DebtCon,Office,0.0,0.0,0.0,180.2840616,0.0,21.0,37.95078758,Put More Money Down on Mortgage
422527,2011-01-14,13700,94650.0,109650.0,DebtCon,Office,3.5,0.0,1.0,268.8333333,1.0,34.0,,Put More Money Down on Mortgage
739113,2011-05-08,14000,,,HomeImp,Other,17.0,0.0,7.0,184.6131909,0.0,12.0,18.19428042,Put More Money Down on Mortgage
101745,2013-10-24,17300,40280.0,66319.0,DebtCon,,4.0,0.0,0.0,101.3255769,2.0,9.0,27.97593545,Put More Money Down on Mortgage
477594,2020-05-30,39000,399412.0,511164.0,DebtCon,ProfExe,5.0,0.0,0.0,181.9624008,0.0,21.0,43.73003185,Put More Money Down on Mortgage
532317,2011-10-27,14900,57557.0,80611.0,DebtCon,Other,12.0,0.0,0.0,103.1065045,0.0,7.0,39.84087535,Put More Money Down on Mortgage
22353,2008-06-22,10300,74624.0,96697.0,DebtCon,Office,7.0,0.0,0.0,217.2353212,3.0,28.0,41.51130079,Put More Money Down on Mortgage
301172,2011-02-26,13800,21711.0,32357.0,DebtCon,Office,7.0,0.0,0.0,105.6662342,0.0,17.0,20.33315559,Put More Money Down on Mortgage
761897,2005-12-04,6200,46601.0,59486.0,HomeImp,Other,5.0,0.0,0.0,84.63211066,0.0,18.0,25.35001036,Put More Money Down on Mortgage
89334,2012-03-16,15100,26196.0,45657.0,HomeImp,Other,9.0,0.0,0.0,86.71659339,1.0,12.0,29.32175447,Put More Money Down on Mortgage
505974,2011-06-14,14300,,63319.0,,,0.0,0.0,0.0,,0.0,0.0,3.9608595,Put More Money Down on Mortgage
547257,2005-04-02,4100,57992.0,63797.0,DebtCon,ProfExe,7.0,0.0,4.0,165.505037,1.0,31.0,22.27817437,Put More Money Down on Mortgage
659920,2005-07-15,5100,66834.0,87361.0,HomeImp,Other,0.0,2.0,0.0,290.034108,0.0,6.0,38.76698507,Put More Money Down on Mortgage
150428,2013-06-27,16900,,51549.0,DebtCon,Office,1.0,0.0,0.0,75.41374556,1.0,8.0,40.62819923,Put More Money Down on Mortgage
162025,2007-12-04,9800,15021.0,31900.0,DebtCon,Other,6.0,0.0,0.0,276.7342017,0.0,11.0,22.29124919,Put More Money Down on Mortgage
112751,2014-08-04,18500,67290.0,95750.0,DebtCon,Other,,2.0,1.0,237.1,2.0,14.0,,Put More Money Down on Mortgage
15818,2008-03-21,10000,48840.0,58740.0,HomeImp,Other,15.0,2.0,2.0,194.8,0.0,39.0,,Put More Money Down on Mortgage
296396,2017-02-07,23000,131200.0,163390.0,DebtCon,Other,7.0,1.0,0.0,215.0666667,1.0,20.0,,Put More Money Down on Mortgage
912049,2009-11-03,12100,31400.0,48000.0,DebtCon,Other,6.0,1.0,0.0,107.5333333,2.0,16.0,,Put More Money Down on Mortgage
519377,2018-04-16,25500,235839.0,267506.0,HomeImp,Self,5.0,0.0,0.0,240.2170139,3.0,51.0,39.04842776,Put More Money Down on Mortgage
947637,2013-02-13,16300,49868.0,76131.0,DebtCon,Other,9.0,0.0,0.0,81.2741558,2.0,9.0,40.37255654,Put More Money Down on Mortgage
52285,2019-12-02,32600,17918.0,40000.0,DebtCon,Mgr,7.0,0.0,0.0,45.66666667,0.0,7.0,,Put More Money Down on Mortgage
615502,2019-07-09,29800,225481.0,290762.0,DebtCon,ProfExe,13.0,0.0,1.0,239.3216306,1.0,26.0,24.77798542,Put More Money Down on Mortgage
287323,2014-10-25,18900,39727.0,68477.0,DebtCon,Office,11.0,0.0,2.0,134.2798423,0.0,22.0,40.42119971,Put More Money Down on Mortgage
579551,2009-04-05,11400,56789.0,74016.0,HomeImp,Other,7.0,0.0,0.0,127.6254746,0.0,16.0,33.02714356,Put More Money Down on Mortgage
445980,2015-07-22,20200,61477.0,98143.0,DebtCon,Office,1.0,0.0,0.0,156.9290889,0.0,21.0,36.09986835,Put More Money Down on Mortgage
202225,2019-04-19,28300,104686.0,136033.0,HomeImp,ProfExe,13.0,0.0,2.0,291.1716614,1.0,27.0,5.762994872,Put More Money Down on Mortgage
109752,2010-02-20,12500,50097.0,73846.0,DebtCon,Other,1.0,0.0,0.0,267.8654583,0.0,20.0,29.15960949,Put More Money Down on Mortgage
171957,2018-03-28,25400,158111.0,209649.0,HomeImp,Other,10.0,0.0,0.0,254.3361895,1.0,34.0,43.13677016,Put More Money Down on Mortgage
543490,2010-08-18,13000,80277.0,106799.0,DebtCon,Other,3.0,0.0,0.0,67.11166592,2.0,14.0,37.29777299,Put More Money Down on Mortgage
870330,2014-09-02,18600,,95085.0,,Other,,0.0,0.0,175.7879949,1.0,10.0,32.25091533,Put More Money Down on Mortgage
137289,2010-05-12,12800,111000.0,124500.0,DebtCon,Sales,7.0,1.0,0.0,203.9,2.0,40.0,,Put More Money Down on Mortgage
770483,2021-03-18,72300,,85000.0,DebtCon,Other,1.0,0.0,0.0,117.1666667,9.0,23.0,,Put More Money Down on Mortgage
389498,2019-01-19,27600,,117581.0,DebtCon,Mgr,10.0,0.0,0.0,165.0058394,0.0,27.0,34.99872777,Put More Money Down on Mortgage
584560,2019-04-30,28400,36484.0,73478.0,DebtCon,Mgr,13.0,1.0,0.0,100.9750908,6.0,16.0,34.76399377,Put More Money Down on Mortgage
377196,2013-09-27,17200,59698.0,89715.0,,ProfExe,9.0,0.0,0.0,,1.0,16.0,23.34562321,Put More Money Down on Mortgage
47319,2006-09-18,7900,,31602.0,HomeImp,Office,20.0,0.0,0.0,192.1211081,0.0,15.0,35.58605153,Put More Money Down on Mortgage
955185,2011-11-06,14900,48649.0,81342.0,DebtCon,Mgr,3.0,0.0,0.0,110.0567314,0.0,8.0,28.8023987,Put More Money Down on Mortgage
12930,2014-12-11,19100,46406.0,64413.0,DebtCon,Other,16.0,0.0,0.0,285.7252576,0.0,22.0,30.77453617,Put More Money Down on Mortgage
93266,2014-11-19,19000,107199.0,132723.0,DebtCon,ProfExe,7.0,0.0,0.0,91.37193168,0.0,13.0,31.44261162,Put More Money Down on Mortgage
