MACHINE_ID,REPAIR_DATE,DAILY_PRODUCTION,MONTHLY_PRODUCTION,PROD_TARGET,REASON,MONTHS_IN_OPERATION,NEGATIVE_RATING,DAYS_OUT_OF_SERVICE,MACHINE_AGE,SENSOR_INQUIRIES,NUM_SENSORS,SENSOR_RATIO,INDUSTRY,ACTION
95753,2007-03-04,8500,49266.0,64461.0,CarProd,22.0,0.0,0.0,264.4080231,3.0,29.0,37.97675792,Other,Turn Off Machine
613310,2013-09-22,17100,104652.0,169076.0,,,1.0,,270.5812143,,23.0,38.46522769,Other,Turn Off Machine
870681,2014-01-05,17600,62996.0,86817.0,TruckPr,12.0,0.0,1.0,152.7826478,0.0,14.0,29.20365458,GOVERNMENT,Turn Off Machine
158977,2020-07-01,40300,369874.0,467112.0,TruckPr,2.0,0.0,0.0,328.1988938,4.0,15.0,40.79992141,GOVERNMENT,Turn Off Machine
500870,2012-08-01,15600,92789.0,123455.0,CarProd,13.0,0.0,0.0,176.7349322,0.0,26.0,36.54427311,Other,Turn Off Machine
410315,2008-04-20,10100,66393.0,85605.0,CarProd,6.0,1.0,1.0,203.6995629,3.0,29.0,37.66930513,FLEET,Turn Off Machine
829276,2016-01-28,21200,70000.0,101250.0,CarProd,1.0,1.0,0.0,43.6,7.0,49.0,,Other,Turn Off Machine
737312,2012-01-14,15000,116000.0,202800.0,CarProd,3.5,0.0,0.0,202.9666667,0.0,17.0,,Other,Turn Off Machine
313536,2014-01-04,17600,56090.0,103992.0,TruckPr,1.0,0.0,2.0,46.87513575,1.0,10.0,39.08182644,Other,Turn Off Machine
930285,2006-12-03,8200,,50061.0,TruckPr,10.0,0.0,0.0,296.9016386,1.0,13.0,33.63213652,Other,Turn Off Machine
174836,2015-06-08,20000,77900.0,105400.0,CarProd,4.0,0.0,0.0,110.6,0.0,17.0,,COMMERCIAL,Turn Off Machine
30546,2012-12-19,16100,99844.0,114647.0,CarProd,11.0,0.0,0.0,169.983556,0.0,27.0,33.52327854,Other,Turn Off Machine
618756,2016-08-09,22100,86148.0,141472.0,CarProd,11.0,0.0,0.0,89.16146609,2.0,14.0,40.67729771,Other,Turn Off Machine
486978,2015-01-21,19400,45036.0,78900.0,,,,,,,,40.02396798,,Turn Off Machine
317583,2005-05-23,5000,31000.0,47350.0,TruckPr,12.0,,,,,,,GOVERNMENT,Turn Off Machine
44029,2011-07-17,14400,80123.0,102223.0,CarProd,9.0,2.0,0.0,176.418283,0.0,30.0,27.64495462,GOVERNMENT,Turn Off Machine
19035,2012-05-26,15400,32131.0,47338.0,TruckPr,9.0,0.0,0.0,93.3731422,1.0,11.0,31.40918636,Other,Turn Off Machine
154561,2010-09-14,13200,58549.0,81381.0,CarProd,13.0,0.0,0.0,94.68710666,0.0,24.0,38.41275614,FLEET,Turn Off Machine
201496,2020-01-05,33500,73761.0,117729.0,CarProd,11.0,0.0,0.0,62.12090961,0.0,35.0,25.46161407,COMMERCIAL,Turn Off Machine
498797,2011-04-04,13900,50415.0,68166.0,CarProd,10.0,0.0,0.0,235.680967,0.0,17.0,33.77003753,Other,Turn Off Machine
180386,2018-10-18,26900,,35397.0,CarProd,7.0,0.0,,85.25084072,,13.0,20.83725547,Other,Turn Off Machine
866578,2005-10-21,5900,106650.0,,CarProd,1.0,0.0,6.0,250.5666667,4.0,23.0,,COMMERCIAL,Turn Off Machine
501778,2011-03-09,13900,,,TruckPr,4.0,0.0,2.0,209.4799103,0.0,15.0,35.77489179,Other,Turn Off Machine
664744,2013-11-11,17300,57358.0,71617.0,CarProd,0.0,0.0,0.0,194.2933392,0.0,25.0,30.53780606,FLEET,Turn Off Machine
790036,2007-10-11,9500,131394.0,162449.0,TruckPr,10.0,0.0,0.0,222.0095049,0.0,18.0,19.55124299,GOVERNMENT,Turn Off Machine
296413,2020-08-14,42000,65889.0,125000.0,TruckPr,10.0,0.0,0.0,102.5,1.0,13.0,,Other,Turn Off Machine
462952,2020-05-11,38100,33446.0,73289.0,CarProd,5.0,0.0,0.0,180.847815,1.0,18.0,23.82041534,GOVERNMENT,Turn Off Machine
15054,2011-03-15,13900,68876.0,90813.0,TruckPr,,0.0,0.0,284.4969036,0.0,19.0,31.16414999,Other,Turn Off Machine
468562,2015-01-24,19400,51360.0,76100.0,CarProd,1.0,0.0,0.0,222.8321181,0.0,11.0,36.2633362,FLEET,Turn Off Machine
753610,2017-07-05,23900,,62276.0,CarProd,26.0,0.0,0.0,127.024625,0.0,8.0,20.40782558,Other,Turn Off Machine
378668,2011-12-15,15000,96931.0,137390.0,CarProd,0.2,0.0,0.0,114.8666667,1.0,16.0,,Other,Turn Off Machine
225913,2014-09-18,18700,110292.0,132953.0,CarProd,7.0,0.0,0.0,105.4248876,0.0,14.0,30.55275232,GOVERNMENT,Turn Off Machine
79965,2007-05-22,8800,,74928.0,,,,,,,,23.98891307,,Turn Off Machine
280712,2016-08-02,22100,84114.0,97775.0,TruckPr,8.0,,,,,,,,Turn Off Machine
224186,2010-04-13,12700,79898.0,101989.0,CarProd,9.0,2.0,0.0,214.9964598,1.0,29.0,29.30607111,GOVERNMENT,Turn Off Machine
931562,2013-07-31,17000,97438.0,158780.0,CarProd,0.0,0.0,0.0,210.9126034,1.0,18.0,38.79674995,COMMERCIAL,Turn Off Machine
642508,2019-10-24,31800,70680.0,114720.0,TruckPr,5.0,,,115.8502492,11.0,20.0,43.06942356,Other,Turn Off Machine
157141,2018-06-03,25900,42105.0,73249.0,CarProd,2.0,0.0,0.0,109.2111561,3.0,22.0,31.80908592,Other,Turn Off Machine
19083,2015-12-22,21000,86545.0,118000.0,TruckPr,9.9,0.0,0.0,121.7666667,2.0,24.0,,COMMERCIAL,Turn Off Machine
605844,2007-09-30,9400,92340.0,125451.0,CarProd,7.0,0.0,0.0,129.1137248,1.0,22.0,36.3499746,FLEET,Turn Off Machine
444941,2005-02-09,3000,47000.0,56400.0,TruckPr,21.0,0.0,0.0,201.8666667,0.0,20.0,,FLEET,Turn Off Machine
812592,2008-09-27,10700,55043.0,68609.0,CarProd,2.0,0.0,0.0,46.27217596,1.0,17.0,25.44884453,Other,Turn Off Machine
579187,2008-08-08,10500,89000.0,268000.0,TruckPr,,4.0,,120.8,2.0,15.0,,GOVERNMENT,Turn Off Machine
599080,2020-10-21,47000,39000.0,99820.0,TruckPr,9.0,0.0,0.0,203.8,3.0,36.0,,INDUSTRIAL,Turn Off Machine
776667,2011-02-18,13800,76537.0,108747.0,CarProd,5.0,0.0,0.0,73.07523809,1.0,14.0,34.2526057,Other,Turn Off Machine
835142,2008-07-12,10400,37233.0,52320.0,CarProd,15.0,0.0,0.0,88.67732863,0.0,11.0,31.05643679,Other,Turn Off Machine
394053,2007-02-04,8400,43900.0,55000.0,CarProd,1.0,0.0,0.0,169.4333333,1.0,21.0,,FLEET,Turn Off Machine
210021,2020-08-21,42300,367089.0,469771.0,TruckPr,3.0,0.0,0.0,310.0515235,4.0,14.0,42.60364087,GOVERNMENT,Turn Off Machine
142531,2011-08-24,14600,6871.0,52457.0,CarProd,4.0,0.0,0.0,317.2440017,0.0,16.0,17.61790872,GOVERNMENT,Turn Off Machine
140305,2013-05-26,16700,67238.0,96535.0,TruckPr,7.0,,,103.4726082,0.0,10.0,39.34965052,FLEET,Turn Off Machine
