CALL_CENTER_ID,RESPONSE_DATE,DAILY_CALLS,MONTHLY_CALLS,CALL_TARGET,REASON,MONTHS_CUSTOMER,NEGATIVE_RATING,DAYS_PROD_OUT_OF_SERVICE,PRODUCT_AGE,CALL_INQUIRIES,NUM_CALLERS,CALL_TIME,PRODUCT_TYPE,FEEDBACK,Sentiment,ACTION
642179,2010-08-16,269,671.0,929.0,ProdFailure,16.0,0.0,0.0,89.11217349,1.0,17.0,32.79147803,Other,I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1,Contact Account Managment
71594,2013-04-10,35,232.0,386.0,ProdGlitch,11.0,0.0,0.0,162.3666667,0.0,14.0,,Other,It looses connection to the phone even when it is within a couple feet between the two.,0,Contact Account Managment
967305,2020-04-08,150,655.0,925.0,ProdFailure,10.0,0.0,0.0,82.94897322,2.0,10.0,34.3172408,Other,"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0,Contact Account Managment
626889,2023-01-29,191,1291.0,1975.0,ProdGlitch,12.0,0.0,0.0,207.1551738,0.0,21.0,36.14177784,Laptop,The holster that arrived did not match the photo in the ad.,0,Contact Account Managment
674708,2018-06-30,128,767.0,950.0,ProdFailure,6.0,0.0,0.0,140.9720223,2.0,26.0,42.15361693,Desktop,"My father has the V265, and the battery is dying.",0,Contact Account Managment
340688,2013-10-25,56,537.0,663.0,ProdGlitch,22.0,0.0,0.0,206.0991341,0.0,19.0,18.36954053,Software,Gets the job done.,1,Contact Account Managment
639642,2023-06-03,200,712.0,1092.0,ProdFailure,10.0,,,,,,,Other,I did not have any problem with this item and would order it again if needed.,1,Contact Account Managment
50375,2020-02-15,150,530.0,834.0,ProdGlitch,5.0,0.0,0.0,120.3,0.0,13.0,,Laptop,IT'S REALLY EASY.,1,Contact Account Managment
465140,2018-10-21,131,618.0,734.0,,13.0,0.0,0.0,258.9371542,0.0,26.0,28.73085117,Other,I have had mine for about a year and this Christmas I bought some for the rest of the family.,1,Contact Account Managment
704195,2014-08-16,74,565.0,728.0,ProdGlitch,3.0,0.0,1.0,141.9621493,0.0,23.0,28.30024564,Desktop,The plastic breaks really easy on this clip.,0,Contact Account Managment
106701,2018-09-13,130,,254.0,ProdFailure,13.0,,,90.93333333,2.0,9.0,,Other,"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1,Contact Account Managment
352837,2016-01-13,97,596.0,703.0,ProdGlitch,4.0,0.0,0.0,239.0382058,1.0,16.0,38.86724899,Other,"You get extra minutes so that you can carry out the call and not get cut off.""",1,Contact Account Managment
132473,2013-04-01,32,678.0,745.0,ProdGlitch,10.0,,1.0,206.4266021,0.0,25.0,40.11567728,Desktop,Leopard Print is wonderfully wild!.,1,Contact Account Managment
458979,2009-08-31,248,762.0,1020.0,ProdGlitch,6.0,0.0,1.0,126.6410196,0.0,32.0,48.56957404,Desktop,"It is cheap, and it feel and look just as cheap.",0,Contact Account Managment
665162,2016-11-04,106,563.0,752.0,ProdFailure,5.0,0.0,0.0,98.37727819,2.0,15.0,26.24239431,Software,The battery is completely useless to me.,0,Contact Account Managment
572421,2023-02-03,192,689.0,987.0,ProdFailure,1.0,0.0,0.0,166.8165741,4.0,19.0,33.03507598,Software,The sound is clear and the people I talk to on it are amazed at the quality too.,1,Contact Account Managment
234372,2010-10-18,274,239.0,568.0,ProdFailure,3.0,0.0,1.0,197.8,0.0,11.0,,Software,I bought this to use with my Kindle Fire and absolutely loved it!,1,Contact Account Managment
660392,2015-12-18,96,730.0,996.0,ProdGlitch,4.5,0.0,1.0,93.33333333,1.0,34.0,,Laptop,"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1,Contact Account Managment
385415,2015-12-05,95,432.0,596.0,ProdGlitch,1.0,1.0,,103.0894831,,13.0,38.70498507,Other,It was quite comfortable in the ear.,1,Contact Account Managment
819422,2022-04-23,179,700.0,1359.0,ProdFailure,1.0,1.0,2.0,138.0110083,0.0,16.0,38.2892023,Server,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,Contact Account Managment
674850,2013-11-29,58,465.0,581.0,ProdGlitch,5.0,0.0,0.0,80.13174641,0.0,17.0,24.14015367,Other,W810i is just SUPERB.,1,Contact Account Managment
167889,2018-08-12,129,701.0,908.0,ProdGlitch,25.0,0.0,0.0,177.0806266,2.0,13.0,40.22569567,Software,Excellent dual-purpose headset.,1,Contact Account Managment
603875,2012-10-23,514,,799.0,ProdGlitch,13.0,1.0,0.0,169.9121678,0.0,21.0,26.25179842,Server,The nano stated it.My son was dissapointed.,0,Contact Account Managment
965052,2017-02-25,110,777.0,1072.0,ProdGlitch,5.0,0.0,0.0,115.5585296,0.0,26.0,26.91192966,Laptop,New Battery works great in phone.,1,Contact Account Managment
959928,2021-10-23,171,484.0,715.0,ProdFailure,5.0,0.0,1.0,254.0957007,3.0,32.0,29.81874354,Laptop,Excellent bluetooth headset.,1,Contact Account Managment
157768,2018-12-03,133,,271.0,ProdGlitch,27.0,0.0,0.0,210.9969755,1.0,4.0,23.80714773,,The text messaging feature is really tricky to use.,0,Contact Account Managment
767176,2020-01-13,150,1630.0,2075.0,ProdFailure,6.0,0.0,0.0,247.5842491,1.0,27.0,,Laptop,Better than you'd expect.,1,Contact Account Managment
