MACHINE_ID,REPAIR_DATE,S_0,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,ACTION
693475,2012-11-01,-1.6464979,-3.7380942,-3.742831,-3.5355685,-3.0323229,-1.8695974,-0.48906322,-0.16722018,0.51687051,1.1535699,Run at 75% Capacity
5008361,2012-08-31,2.4048811,1.9534212,-0.23782038,-2.0900589,-3.6278553,-4.498393,-3.6267852,-2.1000876,-1.8492334,-1.5498699,Run at 75% Capacity
3583981,2018-02-07,-0.10384665,-0.26559527,-0.83428341,-1.3608758,-1.6057754,-1.9700886,-2.2868884,-2.4700491,-2.4132623,-1.9333228,Check for Misalignment
6668641,2013-11-25,0.15864646,-1.5386207,-3.6008944,-4.4516147,-4.2456252,-3.4765177,-2.5372017,-1.9157789,-1.6572823,-0.91070956,Check Bearings
6837391,2019-04-07,1.2024422,0.01919897,-1.1648434,-2.021293,-2.4702892,-2.7101592,-2.7488321,-2.6792525,-2.5737027,-2.2730842,Test Electrical
5653543,2012-09-12,-0.75997511,-2.3594412,-2.8690162,-3.5928041,-3.8624214,-3.3406174,-2.3560988,-1.7877071,-1.4112415,-0.73043578,Run at 75% Capacity
5356745,2021-08-27,0.57948814,0.33910281,-0.42066654,-1.3351884,-1.8702948,-2.6076975,-3.1019465,-3.1355874,-2.7770457,-2.0912231,Test HVAC
5434658,2020-04-14,-0.45623439,-1.5695351,-2.3258093,-2.5801501,-2.8198071,-2.8529239,-2.6436424,-2.1622919,-1.4673335,-0.97942267,Test HVAC
7492089,2010-11-25,-1.2311085,-2.4251168,-3.3614268,-4.2890405,-4.1354835,-3.4102516,-2.2610946,-1.3906626,-1.1424369,-0.36952331,Run at 25% Capacity
5473665,2016-03-23,1.1838403,1.2022944,-0.84784256,-2.5019613,-3.4064047,-4.411003,-3.6128399,-2.3553638,-1.7731574,-1.3872607,Check Belts
1961536,2009-08-02,0.288011,-1.0980196,-2.5002499,-3.5985989,-3.6506084,-3.2815873,-2.2316013,-1.2506564,-1.0725741,-0.43430991,Review Capacity
3496925,2021-05-31,0.91766918,0.30054247,-0.39833604,-0.84652648,-1.1789843,-1.6085748,-1.8131997,-1.6246577,-1.1666192,-0.70580297,Test HVAC
8830469,2019-09-12,-1.1689217,-1.9845212,-2.0664796,-2.7247174,-2.759475,-2.6608234,-2.4858586,-1.9284497,-1.3812735,-0.92875337,Test Electrical
4797216,2020-12-08,1.1432051,0.98179947,0.50342638,-0.093575792,-0.58599238,-0.8467669,-1.0793727,-1.4114459,-1.5926275,-1.594404,Test HVAC
7298009,2010-09-17,-0.63439195,-1.4432126,-2.5700001,-3.16019,-3.9072275,-3.6731387,-2.8808749,-2.0728459,-1.9912795,-1.5667294,Run at 25% Capacity
5748584,2017-12-16,0.7503787,-0.66940857,-1.5058856,-2.6327572,-3.1567046,-3.0683738,-2.5517604,-1.5683186,-0.85800603,-0.65956718,Check for Misalignment
8351063,2019-07-15,-0.9605565,-2.0732621,-2.7784765,-3.3858378,-3.3852831,-3.012892,-2.5027292,-1.8338064,-1.2699174,-0.95377423,Test Electrical
7568968,2020-11-23,0.45791179,-0.18603265,-0.58295464,-1.1309657,-1.2570368,-1.5820851,-1.8297429,-2.0324303,-1.9010446,-1.5930253,Test HVAC
2791359,2011-07-30,-1.0990116,-2.5125286,-3.177406,-3.6712814,-3.8923183,-3.7094057,-2.7675124,-1.7848301,-1.5747208,-1.1699151,Run at 50% Capacity
3606149,2009-01-27,-0.8980667,-1.5286207,-1.7170011,-2.1436405,-2.325634,-2.3800381,-2.3502611,-2.1859608,-1.8944102,-1.4455971,Review Capacity
7811719,2013-06-12,-0.77313731,-3.6311663,-4.1858764,-4.4908111,-3.8605318,-2.61233,-1.8030652,-1.5767949,-0.78041934,-0.28412526,Run at 75% Capacity
7931542,2011-02-16,-1.784607,-3.3881576,-3.2486818,-3.4885723,-3.1937283,-2.5781808,-1.7679843,-1.5652008,-1.3993328,-0.8597262,Run at 50% Capacity
1329652,2019-04-11,0.16790299,-0.72472094,-1.3640755,-1.7446178,-1.6251554,-1.4084936,-1.0144553,-0.65327399,-0.53497362,-0.40148435,Test Electrical
3279743,2020-07-11,-0.18533113,-1.417712,-1.8736114,-2.3894189,-2.44733,-2.6964677,-2.7272348,-2.4487069,-2.0797534,-1.5999867,Test HVAC
2344132,2016-11-13,0.75660741,0.18166269,0.14384167,-0.15851676,-0.31575659,-0.3572463,-0.31347602,-0.12059534,0.088322599,0.39351063,Check for Corrosion
7970913,2015-07-25,-0.17424441,-2.7390694,-4.2126288,-4.407515,-3.9379011,-3.0352601,-1.8764216,-1.49571,-1.135303,-0.32307516,Check Belts
4073278,2019-07-13,0.030045548,-1.2282395,-1.8844484,-2.5916032,-2.9616985,-3.1496803,-3.1310223,-2.9139942,-2.4821434,-1.8905366,Test Electrical
9506485,2019-08-23,-1.0605066,-1.8155345,-2.0186804,-2.6285362,-2.620877,-2.4246995,-2.2245584,-1.8080844,-1.4080496,-0.89242736,Test Electrical
9053227,2013-10-02,-0.96644751,-2.8023405,-3.6997288,-4.1660627,-3.6006422,-2.6609465,-1.9587894,-1.748904,-1.1041614,-0.56707057,Check Bearings
561650,2015-08-15,-0.89192053,-3.4671156,-3.9230022,-4.3361289,-3.7834321,-2.4432669,-1.722651,-1.7272422,-0.96535517,-0.37451288,Check Belts
